Algorithms,Avg,Std
Gon,1.462185228355825,0.05748398852641602
HS,1.428883655410021,0.05737581929643025
CDS,1.033663390780848,0.005440996595675691
CDSh,1.4763498031293867,0.06522959290736471
CDSh_p,1.289477917088237,0.0030475732844603845
Scr,1.0636120419113695,0.0
Gr,3.4677331432807055,0.0
LS,1.7839106356544767,0.0993718608715318
LS_Scr,1.0624809776920703,0.00042854956435548337
SA_Swp,1.0686270029155973,0.011606037404903256
SA_Swp_Scr,1.0495193146588264,0.0022951112461229188
